time,co2,co2d,co2_cal,ch4,ch4d,ch4_cal,h2o,temperature,relative_humidity,pressure,lat_interp,lon_interp,alt_interp,car_speed,car_direction,wind_speed_uncorr,wind_dir_uncorr,wind_speed_corr,wind_dir_corr
2018-08-28 03:40:19,419.51676489,419.51676489,420.3050813513458,2.008916897,2.008916897,2.0093988066929915,0.0,26.6,76.0,991.9,,,,,,15.1,188.0,,
2018-08-28 03:40:20,419.51676489,419.51676489,420.3050813513458,1.9728078899,1.9728078899,1.9735483413367292,0.0,26.6,76.0,991.9,,,,,,14.6,196.0,,
2018-08-28 03:40:23,409.46951105,409.46951105,410.21452048998333,1.9728078899,1.9728078899,1.9735483413367292,0.0,26.6,76.0,992.1,,,,,,14.0,188.0,,
2018-08-28 03:40:25,409.46951105,409.46951105,410.21452048998333,1.9594525171,1.9594525171,1.9602885934693788,0.0,26.6,76.0,992.1,,,,,,14.3,191.0,,
2018-08-28 03:40:28,415.67679613,415.67679613,416.44856104285617,1.9594525171,1.9594525171,1.9602885934693788,0.0,26.5,76.0,992.2,,,,,,14.7,193.0,,
2018-08-28 03:40:29,415.67679613,415.67679613,416.44856104285617,1.9893325699,1.9893325699,1.9899547040545598,0.0,26.5,76.0,992.2,,,,,,14.8,192.0,,
2018-08-28 03:40:32,418.9502348,418.9502348,419.7361093273506,1.9893325699,1.9893325699,1.9899547040545598,0.0,26.5,76.0,992.2,,,,,,14.3,194.0,,
2018-08-28 03:40:33,418.9502348,418.9502348,419.7361093273506,1.999733184,1.999733184,2.0002808493967255,0.0,26.5,76.0,992.2,,,,,,14.3,201.0,,
2018-08-28 03:40:36,410.35095349,410.35095349,411.09976224143566,1.999733184,1.999733184,2.0002808493967255,0.0,26.5,76.0,992.3,,,,,,14.1,192.0,,
2018-08-28 03:40:38,410.35095349,410.35095349,411.09976224143566,1.9953542718,1.9953542718,1.995933290360016,0.0,26.5,76.0,992.3,,,,,,13.1,186.0,,
2018-08-28 03:40:41,411.17189301,411.17189301,411.92424028508566,1.9953542718,1.9953542718,1.995933290360016,0.0,26.5,76.0,992.4,,,,,,13.7,193.0,,
2018-08-28 03:40:42,411.17189301,411.17189301,411.92424028508566,1.987316069,1.987316069,1.9879526413709718,0.0,26.5,76.0,992.4,,,,,,13.7,193.0,,
2018-08-28 03:40:45,415.61396462,415.61396462,416.3854587080528,1.987316069,1.987316069,1.9879526413709718,0.0,26.5,76.0,992.4,,,,,,15.1,194.0,,
2018-08-28 03:40:47,415.61396462,415.61396462,416.3854587080528,1.9863107942,1.9863107942,1.9869545643734206,0.0,26.5,76.0,992.4,,,,,,15.2,191.0,,
2018-08-28 03:40:50,414.6545582,414.6545582,415.4219169257948,1.9863107942,1.9863107942,1.9869545643734206,0.0,26.5,76.0,992.4,,,,,,14.7,191.0,,
2018-08-28 03:40:51,414.6545582,414.6545582,415.4219169257948,1.9903151143,1.9903151143,1.9909302134025637,0.0,26.5,76.0,992.4,,,,,,14.5,189.0,,
2018-08-28 03:40:54,413.38514767,413.38514767,414.14703481223415,1.9903151143,1.9903151143,1.9909302134025637,0.0,26.5,76.0,992.4,,,,,,15.1,190.0,,
2018-08-28 03:40:55,413.38514767,413.38514767,414.14703481223415,1.9963488244,1.9963488244,1.9969207219288914,0.0,26.5,76.0,992.4,,,,,,15.1,191.0,,
2018-08-28 03:40:58,418.94586621,418.94586621,419.73172190726797,1.9963488244,1.9963488244,1.9969207219288914,0.0,26.5,76.0,992.4,,,,,,14.6,192.0,,
2018-08-28 03:41:00,418.94586621,418.94586621,419.73172190726797,1.9929986201,1.9929986201,1.993594505207924,0.0,26.5,76.0,992.4,,,,,,14.9,190.0,,
2018-08-28 03:41:03,426.54103102,426.54103102,427.35962441554017,1.9929986201,1.9929986201,1.993594505207924,0.0,26.5,76.0,992.5,,,,,,14.6,200.0,,
2018-08-28 03:41:04,426.54103102,426.54103102,427.35962441554017,1.9957285802,1.9957285802,1.9963049186988844,0.0,26.5,76.0,992.5,,,,,,15.3,202.0,,
2018-08-28 03:41:07,430.76700475,430.76700475,431.603813504435,1.9957285802,1.9957285802,1.9963049186988844,0.0,26.5,76.0,992.6,,,,,,16.1,201.0,,
2018-08-28 03:41:09,430.76700475,430.76700475,431.603813504435,1.9993920504,1.9993920504,1.9999421583251382,0.0,26.5,76.0,992.7,,,,,,16.2,199.0,,
2018-08-28 03:41:12,427.04935207,427.04935207,427.8701364991223,1.9993920504,1.9993920504,1.9999421583251382,0.0,26.4,77.0,992.8,,,,,,14.9,226.0,,
2018-08-28 03:41:13,427.04935207,427.04935207,427.8701364991223,1.9977992823,1.9977992823,1.9983607944999997,0.0,26.4,77.0,992.9,,,,,,13.5,231.0,,
2018-08-28 03:41:16,415.79297192,415.79297192,416.5652375893315,1.9977992823,1.9977992823,1.9983607944999997,0.0,26.4,77.0,993.2,,,,,,10.1,213.0,,
2018-08-28 03:41:18,415.79297192,415.79297192,416.5652375893315,2.0045859371,2.0045859371,2.00509885661615,0.0,26.4,77.0,993.5,,,,,,8.4,208.0,,
2018-08-28 03:41:21,409.73956891,409.73956891,410.4857423896004,2.0045859371,2.0045859371,2.00509885661615,0.0,26.3,77.0,993.8,,,,,,9.2,194.0,,
2018-08-28 03:41:22,409.73956891,409.73956891,410.4857423896004,2.0032989282,2.0032989282,2.0038210627445303,0.0,26.3,77.0,993.9,,,,,,9.8,198.0,,
2018-08-28 03:41:25,426.78233541,426.78233541,427.60196890809345,2.0032989282,2.0032989282,2.0038210627445303,0.0,26.3,78.0,994.0,,,,,,11.2,196.0,,
2018-08-28 03:41:27,426.78233541,426.78233541,427.60196890809345,2.001063928,2.001063928,2.001602065223512,0.0,26.3,78.0,993.9,,,,,,12.4,193.0,,
2018-08-28 03:41:30,446.61116045,446.61116045,447.5162628098616,2.001063928,2.001063928,2.001602065223512,0.0,26.2,78.0,993.8,,,,,,13.5,191.0,,
2018-08-28 03:41:31,446.61116045,446.61116045,447.5162628098616,1.9942522558,1.9942522558,1.9948391648328136,0.0,26.2,78.0,993.8,,,,,,13.7,187.0,,
2018-08-28 03:41:35,443.4785284,443.4785284,444.3701280689502,1.9942522558,1.9942522558,1.9948391648328136,0.0,26.2,77.0,993.5,,,,,,14.9,190.0,,
2018-08-28 03:41:36,443.4785284,443.4785284,444.3701280689502,1.9964862604,1.9964862604,1.9970571738823626,0.0,26.2,77.0,993.4,,,,,,14.8,196.0,,
2018-08-28 03:41:39,474.56118297,474.56118297,475.58675926648465,1.9964862604,1.9964862604,1.9970571738823626,0.0,26.2,77.0,993.3,,,,,,15.0,199.0,,
2018-08-28 03:41:41,474.56118297,474.56118297,475.58675926648465,1.9994327308,1.9994327308,1.9999825474520627,0.0,26.1,77.0,993.2,,,,,,14.8,194.0,,
2018-08-28 03:41:44,499.4007156,499.4007156,500.5333585823047,1.9994327308,1.9994327308,1.9999825474520627,0.0,26.1,77.0,993.2,,,,,,15.1,187.0,,
2018-08-28 03:41:45,499.4007156,499.4007156,500.5333585823047,2.0245449644,2.0245449644,2.024914976588148,0.0,26.1,77.0,993.2,,,,,,15.0,192.0,,
2018-08-28 03:41:48,433.26056557,433.26056557,434.108122404798,2.0245449644,2.0245449644,2.024914976588148,0.0,26.1,77.0,993.3,,,,,,14.9,195.0,,
2018-08-28 03:41:50,433.26056557,433.26056557,434.108122404798,2.0562858589,2.0562858589,2.0564286051821896,0.0,26.1,77.0,993.3,,,,,,14.4,195.0,,
2018-08-28 03:41:53,428.76432277,428.76432277,429.5924992959005,2.0562858589,2.0562858589,2.0564286051821896,0.0,26.1,77.0,993.5,,,,,,13.2,211.0,,
2018-08-28 03:41:54,428.76432277,428.76432277,429.5924992959005,2.0549992684,2.0549992684,2.0551512267148118,0.0,26.1,77.0,993.5,,,,,,12.3,224.0,,
2018-08-28 03:41:58,423.87220584,423.87220584,424.67929570722055,2.0549992684,2.0549992684,2.0551512267148118,0.0,26.1,76.0,993.8,,,,,,7.3,224.0,,
2018-08-28 03:41:59,423.87220584,423.87220584,424.67929570722055,2.0610304482,2.0610304482,2.0611392230581753,0.0,26.1,76.0,993.8,,,,,,7.8,243.0,,
2018-08-28 03:42:02,423.61584625,423.61584625,424.4218311217245,2.0610304482,2.0610304482,2.0611392230581753,0.0,26.1,76.0,994.0,,,,,,9.9,275.0,,
2018-08-28 03:42:04,423.61584625,423.61584625,424.4218311217245,2.0586123682,2.0586123682,2.058738456594877,0.0,26.1,76.0,994.0,,,,,,11.2,278.0,,
2018-08-28 03:42:07,423.28129821,423.28129821,424.08584106788214,2.0586123682,2.0586123682,2.058738456594877,0.0,26.1,76.0,994.0,,,,,,12.6,290.0,,
2018-08-28 03:42:08,423.28129821,423.28129821,424.08584106788214,2.0491973402,2.0491973402,2.049390840522038,0.0,26.1,76.0,994.0,,,,,,12.8,289.0,,
2018-08-28 03:42:12,429.69248738,429.69248738,430.5246646055179,2.0491973402,2.0491973402,2.049390840522038,0.0,26.1,77.0,994.0,,,,,,13.2,290.0,,
2018-08-28 03:42:13,429.69248738,429.69248738,430.5246646055179,2.0585706799,2.0585706799,2.0586970667845517,0.0,26.1,77.0,994.1,,,,,,13.4,288.0,,
2018-08-28 03:42:16,427.60768234,427.60768234,428.4308733591533,2.0585706799,2.0585706799,2.0586970667845517,0.0,26.1,77.0,994.2,,,,,,13.8,286.0,,
2018-08-28 03:42:17,427.60768234,427.60768234,428.4308733591533,2.048862235,2.048862235,2.0490581346868972,0.0,26.1,77.0,994.3,,,,,,14.0,286.0,,
2018-08-28 03:42:20,424.11755352,424.11755352,424.92570091770483,2.048862235,2.048862235,2.0490581346868972,0.0,26.1,77.0,994.4,,,,,,14.2,281.0,,
2018-08-28 03:42:22,424.11755352,424.11755352,424.92570091770483,2.0554263021,2.0554263021,2.0555752028387024,0.0,26.1,77.0,994.5,,,,,,14.3,278.0,,
2018-08-28 03:42:25,416.53095033,416.53095033,417.30639693287566,2.0554263021,2.0554263021,2.0555752028387024,0.0,26.1,77.0,994.6,,,,,,13.8,278.0,,
