time,co2,co2d,co2_cal,ch4,ch4d,ch4_cal,h2o,temperature,relative_humidity,pressure,lat_interp,lon_interp,alt_interp,car_speed,car_direction,wind_speed_uncorr,wind_dir_uncorr,wind_speed_corr,wind_dir_corr
2018-10-13 03:10:01,414.01254331,419.13843249,419.92511821228123,1.9490496019,1.9685086527148121,1.9692798868389614,0.98308563013,5.2,83.0,973.8,43.88446059263561,-79.51921287551352,271.9666788578031,16.089114216347948,349.8681890052386,16.1,358.0,2.2823593486166827,83.66150726731615
2018-10-13 03:10:02,414.01254331,419.13843249,419.92511821228123,1.948539541,1.967993499434935,1.9687684220744428,0.98308563013,5.2,83.0,973.7,43.88463162817059,-79.51925506233233,272.3000106811521,16.108197772590238,349.9916391122967,15.8,357.0,1.9743845470474746,92.45938145884395
2018-10-13 03:10:05,410.73058074,415.81583595,416.5882001709408,1.948539541,1.967993499434935,1.9687684220744428,0.98308563013,5.1,83.0,973.6,43.88510240613731,-79.51937033654954,272.96000060081496,16.108197772590238,349.9916391122967,15.7,354.0,1.1848529375975434,102.13505553925177
2018-10-13 03:10:07,410.73058074,415.81583595,416.5882001709408,1.9518535482,1.9713405932400385,1.972091550571765,0.98308563013,5.1,83.0,973.5,43.88528548994622,-79.51941480254429,273.0,15.859904256122702,350.08600587829744,16.2,356.0,1.6883710241452512,71.43784861087073
2018-10-13 03:10:10,411.26025531,416.35206842,417.1267439820698,1.9518535482,1.9713405932400385,1.972091550571765,0.98308563013,5.1,83.0,973.4,43.88573517277167,-79.51951999124039,273.0,15.74428698685073,353.78690239351107,16.6,356.0,1.059304753064602,31.025944137211297
2018-10-13 03:10:11,411.26025531,416.35206842,417.1267439820698,2.0229911094,2.0431883823464414,2.043424907015208,0.98308563013,5.1,83.0,973.3,43.885946312912566,-79.51955188438194,273.0,15.74428698685073,353.78690239351107,16.9,357.0,1.4738504633385088,33.78019633078634
2018-10-13 03:10:15,410.68339862,415.76806967,416.5402280023128,2.0229911094,2.0431883823464414,2.043424907015208,0.98308563013,5.1,83.0,973.1,43.88636356406369,-79.51961137913233,272.6400024271012,10.707219098811251,354.3174220970979,16.7,356.0,6.00563208810854,359.00074631139273
2018-10-13 03:10:16,410.68339862,415.76806967,416.5402280023128,1.9557919842,1.9753183500588523,1.9760408265137368,0.98308563013,5.1,83.0,973.0,43.88647854701598,-79.51962725445756,272.2800048542024,10.707219098811251,354.3174220970979,16.5,356.0,5.805915757598665,359.10406769767104
2018-10-13 03:10:19,408.63247152,413.69175004,414.45495874090074,1.9557919842,1.9753183500588523,1.9760408265137368,0.98308563013,5.1,84.0,972.9,43.88678516819162,-79.51966958865397,271.320011421839,10.707219098811251,354.3174220970979,16.9,355.0,6.194854043159295,356.1798267955118
2018-10-13 03:10:20,408.63247152,413.69175004,414.45495874090074,1.9603317284,1.9799034184583943,1.9805930656644466,0.98308563013,5.1,84.0,972.9,43.88687494397709,-79.51966922264484,271.0200012016285,6.376344420256892,4.531615884806399,16.9,357.0,10.61162990781273,352.48272634075914
2018-10-13 03:10:24,408.30434803,413.35956405,414.1213409182832,1.9603317284,1.9799034184583943,1.9805930656644466,0.98308563013,5.1,84.0,972.7,43.8870204705745,-79.5195702742785,270.399993896484,7.586456645126293,77.58478280129111,17.2,356.0,17.753925453293668,330.99414603675297
2018-10-13 03:10:25,408.30434803,413.35956405,414.1213409182832,1.9569166077,1.9764542016496163,1.9771685453676995,0.98308563013,5.1,84.0,972.7,43.88703662250163,-79.51944455411811,269.939996347428,8.90382488456078,86.4591556803889,17.3,358.0,19.242769194783584,330.44868476052454
2018-10-13 03:10:28,409.89963939,414.97460672,415.74334496186094,1.9569166077,1.9764542016496163,1.9771685453676995,0.98308563013,5.1,84.0,972.7,43.887056034990756,-79.5190775943801,269.37999572277073,10.083682559963506,82.92521840055815,17.1,0.0,18.75142228285014,327.74683235918604
2018-10-13 03:10:29,409.89963939,414.97460672,415.74334496186094,1.9572531571,1.97679411111386,1.9775060210683852,0.98308563013,5.1,84.0,972.7,43.88707055454199,-79.5189152641628,269.3150016760825,10.083682559963506,82.92521840055815,17.1,2.0,18.430893610972845,329.29868303507357
